title,score_num,watched_num,comment_num,ratio
霸王别姬,2097548,3545877,445761,0.212515279745684
阿甘正传,2119253,3838521,355053,0.1675368632249193
泰坦尼克号,2135463,3957269,428015,0.2004319437986048
肖申克的救赎,2830326,4617672,554219,0.1958145457449071
这个杀手不太冷,2253172,4140356,384261,0.170542240006533
美丽人生,1302612,2139400,285135,0.2188948052067691
千与千寻,2196156,3996242,406790,0.1852281896185881
辛德勒的名单,1084991,1868434,180869,0.1667009219431313
盗梦空间,2024025,3583151,396650,0.1959708995689282
星际穿越,1789600,2977241,438607,0.2450866115333035
楚门的世界,1661630,2926383,330478,0.1988878390496079
忠犬八公的故事,1375845,2744450,302748,0.2200451358983025
海上钢琴师,1648539,2941288,331340,0.2009900887998403
三傻大闹宝莱坞,1827104,3325261,360512,0.1973133439585267
放牛班的春天,1287971,2401110,226398,0.175778802473037
机器人总动员,1293181,2298986,232883,0.1800853863457628
无间道,1333727,2360521,217406,0.1630063723685582
疯狂动物城,1887166,3708432,381509,0.202159746413405
控方证人,537161,699314,156288,0.2909518747638045
大话西游之大圣娶亲,1505128,2841748,253725,0.1685737027016971
熔炉,915890,1531133,213634,0.2332529015493127
教父,946567,1548195,162545,0.1717205438178174
当幸福来敲门,1492871,2842044,243001,0.1627742785545435
触不可及,1088265,1774904,237713,0.2184330103421501
怦然心动,1799209,3321436,419521,0.2331696873459392
龙猫,1241159,2458302,231807,0.186766562543558
末代皇帝,860232,1415617,177745,0.2066244919975076
寻梦环游记,1636591,3112607,419781,0.2564971944731457
活着,825749,1313086,176359,0.2135745850131214
蝙蝠侠：黑暗骑士,1035906,1733174,178620,0.1724287724948016
哈利·波特与魔法石,1160220,2170823,182515,0.1573106824567754
指环王3：王者无敌,787257,1287254,112687,0.1431387717098736
乱世佳人,677176,1032622,152710,0.2255100594232518
素媛,673242,1178960,143594,0.2132873468975494
我不是药神,2059055,5857048,532639,0.2586812882608769
飞屋环游记,1299207,2455276,212610,0.1636459778926683
何以为家,1024776,1795072,259144,0.2528786778769214
十二怒汉,478556,685364,115293,0.2409185131938581
哈尔的移动城堡,1000104,1929784,179769,0.1797503059681793
摔跤吧！爸爸,1541906,3431716,312771,0.2028469958609668
鬼子来了,614193,961447,117538,0.1913698137230479
少年派的奇幻漂流,1328011,2410577,305671,0.2301720392376268
让子弹飞,1665718,3150474,318635,0.1912898822009487
猫鼠游戏,997363,1548951,181099,0.1815778207132207
海蒂和爷爷,588814,914275,180178,0.3060015556695323
钢琴家,621187,911037,115693,0.1862450437629892
大话西游之月光宝盒,1198727,2474521,135022,0.1126378232908744
天空之城,804270,1613087,121766,0.1513994056722245
指环王2：双塔奇兵,737476,1230314,86697,0.1175590798887014
闻香识女人,862876,1421570,176040,0.2040154089347716
天堂电影院,669331,1005032,143126,0.2138344107773284
罗马假日,933190,1738818,173504,0.1859256957318445
绿皮书,1612373,2924038,389699,0.2416928341022828
大闹天宫,426674,778891,54254,0.1271556270126607
指环王1：护戒使者,829869,1427934,125267,0.150947920695917
黑客帝国,822239,1377441,135896,0.1652755464043909
教父2,540005,872958,67709,0.1253858760567031
狮子王,820881,1630551,104431,0.1272181960600866
辩护人,579771,859602,127978,0.2207388779362886
饮食男女,608078,874192,152960,0.2515466765776759
搏击俱乐部,830757,1194947,175839,0.2116611716783608
美丽心灵,755021,1262851,141819,0.1878345105632823
本杰明·巴顿奇事,965007,1513281,187157,0.1939436708749262
穿条纹睡衣的男孩,551268,872355,123972,0.2248851738174535
死亡诗社,706784,1056724,168948,0.2390376692171865
窃听风暴,554257,844433,130418,0.2353023958199896
情书,1088210,1642769,287974,0.2646309076373127
两杆大烟枪,585169,816233,123294,0.210698106017236
西西里的美丽传说,956768,1668961,182161,0.1903920281614769
音乐之声,589822,1004892,83301,0.1412307441906202
看不见的客人,1231851,2018095,291876,0.2369409936753714
阿凡达,1395787,2707338,268897,0.1926490216630474
拯救大兵瑞恩,634995,1041903,86770,0.1366467452499626
飞越疯人院,537503,842983,110647,0.2058537347698524
小鞋子,403158,597083,89924,0.2230490279245358
哈利·波特与死亡圣器(下),812419,1472636,141804,0.1745454008338062
沉默的羔羊,869900,1367032,138024,0.1586665133923439
禁闭岛,954063,1466316,175517,0.183967935031544
布达佩斯大饭店,908855,1339048,218830,0.2407754812373811
蝴蝶效应,918402,1525830,168770,0.1837648437176748
致命魔术,840535,1191601,164384,0.1955706781990042
海豚湾,352840,551306,83197,0.2357924271624532
功夫,1096300,2098264,134499,0.1226844841740399
心灵捕手,695639,1112114,134209,0.1929290910946626
美国往事,404085,600905,89922,0.2225323879876758
春光乍泄,620541,880165,139118,0.2241882486411051
低俗小说,817441,1194400,162949,0.1993403805289923
哈利·波特与阿兹卡班的囚徒,708157,1331057,79705,0.112552724890102
摩登时代,294204,541861,49326,0.1676591752661418
超脱,580235,789969,161276,0.2779494515153343
喜剧之王,949792,1853880,144541,0.1521817408443112
致命ID,805186,1116695,157062,0.1950630040760768
七宗罪,927365,1444274,148437,0.1600631897904277
杀人回忆,696306,923882,142682,0.2049127825984552
红辣椒,451379,575806,117405,0.2601029290241681
加勒比海盗,840782,1683728,93936,0.1117245611823278
哈利·波特与密室,735416,1408419,74746,0.1016377125327705
狩猎,380996,526035,112255,0.2946356392193094
被嫌弃的松子的一生,692447,1026026,195322,0.2820750180158192
7号房的礼物,546856,931158,121313,0.2218371929721901
一一,381722,509536,119646,0.3134375278343925
唐伯虎点秋香,1056271,2235465,113849,0.1077838925805972
请以你的名字呼唤我,706703,1000601,213432,0.3020108871760839
断背山,696406,1066647,140436,0.2016582281025723
剪刀手爱德华,1019726,1914879,166416,0.1631967803115739
勇敢的心,551878,890965,97455,0.1765879415378036
入殓师,651543,925902,145549,0.2233912420208643
爱在黎明破晓前,665468,940844,177284,0.2664049961831373
第六感,545083,737968,119495,0.2192234944036045
重庆森林,793880,1197274,178220,0.2244923666045246
蝙蝠侠：黑暗骑士崛起,704918,1130749,144690,0.205257916523624
幽灵公主,513377,957770,81048,0.1578722848900515
超能陆战队,991697,1934948,192038,0.1936458414213212
菊次郎的夏天,583344,915673,150020,0.2571724402753778
爱在日落黄昏时,546284,782222,132633,0.2427912953701737
甜蜜蜜,536795,767957,133591,0.2488678173231867
天使爱美丽,945093,1704326,192648,0.2038402569905819
阳光灿烂的日子,603772,920620,115122,0.1906713130121966
小森林 夏秋篇,417892,650621,111212,0.2661261761412039
完美的世界,308198,437323,77073,0.2500762496836449
借东西的小人阿莉埃蒂,541457,823310,109252,0.2017741020985969
无人知晓,311738,432455,92150,0.2956007929735867
消失的爱人,914956,1280787,239616,0.2618880033575385
倩女幽魂,722088,1449663,110136,0.1525243460630837
小森林 冬春篇,373162,591134,88774,0.2378966775823905
寄生虫,1342867,2119422,349183,0.2600279849009619
侧耳倾听,452826,674627,102917,0.2272771439802484
时空恋旅人,649053,969136,175718,0.2707298171335777
驯龙高手,742053,1313572,120040,0.1617674209254595
教父3,365457,637659,48823,0.1335943763561787
萤火之森,526109,883978,115704,0.2199240081427993
一个叫欧维的男人决定去死,466251,713615,128756,0.2761516865379377
未麻的部屋,322688,407154,85448,0.2648006743355811
怪兽电力公司,655190,1127103,84674,0.1292357941971031
哈利·波特与火焰杯,641433,1272631,66671,0.1039407077590332
玩具总动员3,503585,865345,87485,0.1737243960801056
幸福终点站,557897,834062,103568,0.1856400016490499
傲慢与偏见,780352,1329834,170012,0.2178657836463544
釜山行,1175453,2374057,261004,0.2220454582190866
神偷奶爸,931207,1997926,136472,0.1465538811456529
玛丽和马克思,416712,570226,115306,0.2767042945727505
新世界,420336,537176,100555,0.2392252864375166
被解救的姜戈,596842,825068,136342,0.2284390173613787
告白,661884,892442,182030,0.2750179789812112
大鱼,559496,833714,123736,0.2211561834222228
哪吒闹海,253399,461558,34902,0.1377353501789667
射雕英雄传之东成西就,624301,1013486,112730,0.1805699494314441
阳光姐妹淘,582914,913756,143764,0.2466298630672792
头号玩家,1343374,2606865,340486,0.2534558507161818
喜宴,353459,472246,88041,0.2490840521814411
我是山姆,331504,495078,75100,0.2265432694628119
模仿游戏,634140,905927,143188,0.2257987195256568
恐怖直播,640202,895410,142524,0.2226234844627164
血战钢锯岭,770836,1428217,180405,0.2340381092735679
花样年华,593100,887334,131937,0.2224532119372787
九品芝麻官,658935,1085517,67141,0.1018932064619423
七武士,193438,276146,45863,0.2370940559765919
茶馆,136394,209358,38621,0.2831576169039694
头脑特工队,597458,940573,141425,0.236711199783081
色，戒,780731,1207743,148741,0.1905150429533347
惊魂记,284655,366641,71826,0.252326500500606
你的名字。,1378866,3003858,333704,0.2420133646054076
电锯惊魂,520692,745009,93823,0.1801890561022639
黑客帝国3：矩阵革命,438647,686069,49853,0.1136517518642553
三块广告牌,806389,1219309,201077,0.2493548399097706
达拉斯买家俱乐部,444377,649321,94891,0.2135371542631594
疯狂原始人,823864,1601878,164671,0.1998764359166076
心迷宫,508815,701776,135346,0.2660023780745457
卢旺达饭店,323379,509817,61772,0.191020443504371
上帝之城,296685,419857,58709,0.1978832768761481
谍影重重3,410020,651307,56859,0.138673723233013
英雄本色,528262,983360,83630,0.1583115953825942
纵横四海,416317,666860,78809,0.1893004609468265
风之谷,348460,701461,53858,0.1545600642828445
海街日记,438005,584352,137217,0.3132772456935423
爱在午夜降临前,391147,578847,109329,0.2795087268980715
绿里奇迹,321819,466295,60036,0.1865520680879624
记忆碎片,590053,876854,122948,0.2083677228994683
岁月神偷,567172,868989,136983,0.2415193274703264
忠犬八公物语,191510,560266,34871,0.1820844864497937
荒蛮故事,435046,583613,119510,0.2747065827521687
疯狂的石头,803584,1452772,104659,0.1302402735743867
雨中曲,219047,320581,54270,0.2477550480033965
小偷家族,799497,1519936,205769,0.2573730733198499
爆裂鼓手,576036,816213,152011,0.2638914928928053
无敌破坏王,526133,852219,107306,0.2039522326103856
2001太空漫游,317244,421359,98755,0.3112903632535209
背靠背，脸对脸,127150,164116,40666,0.3198269760125836
贫民窟的百万富翁,733611,1209859,106973,0.1458170610855071
小丑,985302,1458684,264691,0.2686394628245959
无间道2,465922,739889,71110,0.1526221127141452
冰川时代,600845,1188225,58785,0.0978372125922659
东邪西毒,566997,1056241,98024,0.1728827489387069
恐怖游轮,841838,1203957,180674,0.2146184895431187
心灵奇旅,954236,1208696,352190,0.3690806047979745
真爱至上,721870,1022354,190122,0.2633742917699863
牯岭街少年杀人事件,290865,399765,77425,0.266188781737232
你看起来好像很好吃,327086,456582,90568,0.2768935387023596
遗愿清单,449005,707408,96443,0.2147927083217336
魔女宅急便,449293,934485,71235,0.1585490982499171
东京教父,222201,275786,64978,0.2924289269625249
黑天鹅,769071,1204087,172948,0.224879107390605
大佛普拉斯,443111,572831,120754,0.2725141104599073
可可西里,297276,569188,55136,0.1854707409949003
城市之光,142470,237278,30391,0.2133150838773075
雨人,396675,629211,66746,0.1682636919392449
源代码,819799,1212974,168374,0.2053844905885467
恋恋笔记本,657194,978447,160405,0.2440755697708743
海边的曼彻斯特,521094,752082,166033,0.3186238951129738
初恋这件小事,966793,1933368,233807,0.241837704658598
人工智能,436265,641840,95721,0.2194102208520051
虎口脱险,251072,365129,48987,0.1951113624776956
波西米亚狂想曲,590850,831712,172176,0.2914039096217314
青蛇,513045,823968,97582,0.190201639232426
萤火虫之墓,399319,634031,82372,0.2062811937323292
终结者2：审判日,335185,564393,39287,0.1172098990109939
罗生门,307560,467272,71326,0.2319092209650149
疯狂的麦克斯4：狂暴之路,516215,710053,130517,0.2528345747411447
新龙门客栈,433915,713069,66055,0.1522302755147897
千钧一发,289864,374515,76862,0.2651657328954268
奇迹男孩,543462,985213,145027,0.2668576643813183
无耻混蛋,464977,624557,98340,0.2114943319777107
崖上的波妞,482426,909580,97838,0.2028041606381082
二十二,287549,636092,77935,0.2710320675780475
彗星来的那一夜,564035,772973,142300,0.2522893082876062
末路狂花,244857,339265,69205,0.2826343539290279
黑客帝国2：重装上阵,398234,660498,47502,0.1192816283893389
血钻,372537,586926,59720,0.1603062246166152
房间,363335,565758,91475,0.2517649001610084
爱乐之城,873458,1435152,284435,0.3256424464599328
花束般的恋爱,592244,684715,235667,0.397922140198972
步履不停,273440,386907,84211,0.3079688414277355
战争之王,360622,530378,54195,0.1502820127446467
魂断蓝桥,272619,466700,56233,0.2062695556802717
火星救援,710980,1204434,160983,0.2264240906917212
谍影重重2,344913,579784,42723,0.1238660183872454
哈利·波特与死亡圣器(上),557392,1144622,78528,0.1408846915635674
千年女优,259377,321202,81777,0.3152823881839947
芙蓉镇,129565,185968,40117,0.3096283718596843
燃情岁月,281347,409644,64882,0.2306120200322022
阿飞正传,500913,773211,111003,0.2216013559240826
弱点,299406,415411,68799,0.229784974249013
谍影重重,416610,665865,62603,0.1502676363985502
朗读者,447527,636228,84922,0.189758383293075
再次出发之纽约遇见你,419700,597120,119866,0.2855992375506314
香水,535553,771674,118126,0.2205682724212169
海洋,154904,228724,45908,0.2963641997624335
哈利·波特与凤凰社,549355,1157199,59670,0.1086182887204084
穿越时空的少女,375111,547158,87353,0.2328724031020151
地球上的星星,201422,331236,51378,0.2550764067480215
我的奇怪朋友,27202,26185,12476,0.4586427468568487
超星星学园,80294,79169,29403,0.3661917453358906
相爱穿梭千年2：月光下的交换,14477,14305,5788,0.3998065897630725
女心理师,216370,183656,104730,0.4840319822526228
