words,times
电影,31027
故事,12279
喜欢,10753
这部,8425
一部,8306
爱,7544
世界,6958
片子,6717
感觉,5996
生活,5941
经典,5518
导演,5107
剧情,4990
影片,4821
爱情,4249
人生,4239
好看,4182
结局,3957
开始,3764
结尾,3619
人物,3603
感动,3564
镜头,3523
孩子,3513
看过,3463
一种,3447
不错,3390
音乐,3345
美好,3180
现实,3080
真实,3002
角色,2990
中国,2978
前,2956
永远,2948
完美,2941
人性,2896
两个,2854
希望,2791
人类,2753
情节,2750
这是,2703
作品,2691
社会,2666
时代,2645
演员,2620
实在,2599
表演,2595
时间,2543
画面,2527
笑,2523
观众,2521
配乐,2521
东西,2498
可爱,2485
生命,2484
演技,2464
特别,2404
逼,2397
精彩,2382
细节,2344
一点,2312
发现,2293
终于,2231
讲,2145
男人,2131
地方,2121
节奏,2105
动画,2090
选择,2073
只能,2066
叙事,2064
走,2031
点,2030
确实,2022
情感,2018
那段,2002
美国,1996
理解,1995
主角,1965
I,1960
美,1942
日本,1937
也许,1933
小时,1890
本片,1876
懂,1872
那种,1864
感情,1864
女人,1860
值得,1850
震撼,1846
存在,1837
剧本,1833
依然,1824
简单,1820
战争,1795
意义,1790
男主,1782
第一次,1772
一生,1771
家庭,1765
★,1760
父亲,1742
一段,1716
成,1713
台词,1701
比较,1690
年代,1687
宫崎骏,1668
事,1661
第一部,1654
深刻,1652
历史,1650
充满,1642
题材,1637
a,1637
好像,1598
想起,1597
令人,1587
版,1574
主题,1574
记得,1573
「,1566
场景,1564
明白,1552
最终,1549
改变,1535
电影院,1533
感,1530
表现,1527
自由,1512
风格,1508
之间,1497
可惜,1490
小时候,1489
温暖,1488
牛,1485
感受,1474
浪漫,1470
剪辑,1454
话,1444
事情,1444
方式,1443
感人,1440
喜剧,1436
印象,1430
内心,1427
温情,1425
唯一,1424
记忆,1424
高,1421
回忆,1412
美丽,1410
情绪,1406
当年,1395
一场,1388
成长,1376
自然,1366
善良,1362
看着,1353
五星,1345
系列,1336
朋友,1333
一句,1332
新,1329
关系,1322
老师,1321
表达,1309
心,1303
成功,1299
煽情,1282
过程,1275
女主,1270
想象,1268
有人,1250
梦想,1249
总,1240
孤独,1237
经历,1235
分钟,1235
最佳,1212
吃,1208
听,1205
场面,1200
死亡,1199
残酷,1196
设定,1184
星,1176
自我,1176
活着,1174
年轻,1174
几个,1172
是因为,1170
青春,1169
幸福,1169
教父,1161
一遍,1161
悲剧,1156
式,1155
男,1146
想到,1146
发生,1145
想要,1142
命运,1132
重温,1121
童年,1121
依旧,1112
未来,1112
告诉,1110
结束,1104
梦,1101
倒,1101
不到,1097
黑暗,1091
少年,1089
努力,1086
重看,1083
编剧,1083
韩国,1076
找,1069
写,1066
面对,1063
精神,1062
原著,1055
力量,1055
名字,1054
有趣,1052
越,1043
豆瓣,1043
s,1034
动作,1032
爸爸,1029
痛苦,1027
手法,992
开头,990
童话,990
适合,989
这片,988
很棒,978
细腻,977
结构,974
女性,973
类型,967
接受,966
观影,959
三个,957
天才,957
每次,955
显得,952
找到,948
长大,948
小孩,947
像是,946
心理,943
励志,940
算是,940
小说,940
长,937
灵魂,935
拥有,931
好莱坞,931
艺术,928
全片,925
眼泪,922
视角,922
搞笑,921
空间,914
片中,911
遗憾,910
动人,910
设计,909
多年,909
英雄,908
影响,907
展现,906
期待,902
样子,899
奥斯卡,898
更是,895
政治,893
效果,890
真相,882
绝望,876
亲情,875
逻辑,875
心中,873
动画片,870
背景,868
幽默,866
没想到,866
摄影,865
更好,864
魅力,861
打动,860
完整,858
心灵,856
本来,855
快乐,854
能力,852
思考,852
拯救,851
影院,849
母亲,848
超越,848
文化,848
哥哥,846
语言,846
国家,846
带来,845
特效,843
形象,840
女儿,840
妈妈,837
改编,832
讲述,830
身上,826
没什么,826
刻意,826
压抑,825
塑造,825
不想,822
色彩,822
离开,819
厉害,812
想象力,812
史诗,811
暴力,811
可怕,811
傻,811
四星,809
人心,807
站,806
越来越,803
回到,803
讽刺,802
儿子,800
原因,800
科幻,798
却是,798
父母,797
刻画,796
上帝,796
内容,793
元素,792
始终,787
整体,786
变得,784
少,777
味道,776
PS,774
银幕,773
整部,773
仿佛,773
穿越,771
女,771
事件,770
脸,769
无聊,768
拍摄,767
治愈,766
勇敢,764
追求,764
棒,762
李安,761
温柔,759
香港,755
好多,754
失望,753
套路,750
游戏,749
小男孩,748
悲伤,747
此片,741
感到,739
忘记,735
疯狂,734
环境,732
足够,729
性格,729
惊喜,726
眼神,726
推荐,725
超级,722
一幕,721
大师,721
男主角,720
纯粹,719
岁,716
眼睛,714
姜文,713
恐怖,711
女孩,711
少女,710
好好,707
警察,707
技术,706
发展,703
相比,702
杀,700
十年,699
高潮,698
声音,697
真心,695
身边,693
留下,693
王家卫,690
温馨,689
算,689
女主角,688
杀人,687
间,683
坚持,682
周星驰,680
至少,680
不好,680
优秀,677
看似,676
悬疑,675
冲突,674
代表,674
单纯,673
呈现,672
第二部,672
时光,668
一辈子,667
三部曲,665
部,664
神,664
掉,664
难,663
漂亮,663
狗,663
动物,663
无比,661
電影,661
角度,661
文艺,660
教育,660
兄弟,658
两人,658
三星,658
皮克斯,657
放弃,657
致敬,657
这才,657
出色,657
诺兰,655
惊艳,655
勇气,654
片段,654
对话,653
矛盾,653
吸引,651
猜,651
工作,651
上映,649
救赎,649
看得,649
所有人,647
无奈,647
机会,646
回来,646
不知,646
正,646
传统,644
加,643
赞,641
强大,640
大叔,640
背后,640
之作,638
平淡,638
反转,638
卓别林,637
男女,636
讨厌,635
哈利,635
印度,634
桥段,634
搞,631
有意思,631
跑,630
两部,628
玩,628
极致,627
面前,627
差,627
路,624
幻想,623
信仰,622
男孩,621
纯真,619
t,618
身份,617
瞬间,617
城市,615
时刻,614
love,612
夏天,612
清新,611
欣赏,611
家,610
制作,610
片尾,608
版本,607
肯定,605
体验,604
理想,600
大片,598
好听,597
妻子,596
特,595
变,594
岁月,593
处,592
放,591
观看,590
看一遍,590
张曼玉,590
小丑,587
明明,586
....,582
难以,577
程度,577
配音,577
巅峰,576
请,576
化,572
那句,571
生存,569
一颗,568
不行,568
价值观,565
机器人,565
宇宙,565
日子,565
形式,565
哈哈哈,564
影像,562
忘,562
还好,561
保护,561
3D,560
之中,560
走向,559
意识,559
到位,559
天,558
评价,557
开心,557
残忍,556
放在,556
一群,555
出彩,555
黑人,555
猫,554
注定,552
学生,551
字幕,550
昆汀,550
难过,548
够,547
反,545
演绎,543
亮点,542
拍出,542
意外,542
泪点,542
T,541
张国荣,539
线,539
错过,539
无限,538
情怀,538
魔法,538
今敏,537
