title,work_id,score_num,ratio_5s,ratio_4s,ratio_3s,ratio_2s,ratio_1s
肖申克的救赎,1292052,2830820,85.9,12.7,1.2,0.1,0.1
霸王别姬,1291546,2098000,82.5,15.3,1.9,0.2,0.1
阿甘正传,1292720,2119619,77.2,19.8,2.6,0.2,0.1
泰坦尼克号,1292722,2136491,76.5,20.3,3.0,0.2,0.1
美丽人生,1292063,1302871,80.6,16.9,2.2,0.2,0.1
这个杀手不太冷,1295644,2253551,73.7,22.7,3.2,0.2,0.1
千与千寻,1291561,2196556,73.4,23.0,3.3,0.2,0.1
辛德勒的名单,1295124,1085208,80.3,17.4,2.1,0.1,0.1
楚门的世界,1292064,1662123,71.8,24.6,3.4,0.2,0.1
盗梦空间,3541415,2024404,72.4,23.7,3.5,0.2,0.1
忠犬八公的故事,3011091,1376100,74.8,21.2,3.6,0.2,0.1
海上钢琴师,1292001,1648813,70.9,24.2,4.4,0.4,0.2
三傻大闹宝莱坞,3793023,1827444,68.8,25.5,4.9,0.5,0.2
放牛班的春天,1291549,1288174,70.8,25.4,3.5,0.2,0.1
机器人总动员,2131459,1293403,71.8,24.0,3.9,0.2,0.1
无间道,1307914,1334033,69.0,26.9,3.9,0.2,0.1
疯狂动物城,25662329,1887592,66.2,29.1,4.5,0.2,0.1
控方证人,1296141,537367,82.3,16.0,1.6,0.1,0.1
星际穿越,1889243,1790046,74.8,20.9,3.8,0.4,0.2
大话西游之大圣娶亲,1292213,1505429,67.0,26.5,5.8,0.5,0.3
熔炉,5912992,916052,71.5,24.9,3.3,0.2,0.1
教父,1291841,946810,72.1,22.9,4.5,0.4,0.2
当幸福来敲门,1849031,1493133,64.8,29.1,5.6,0.4,0.1
触不可及,6786002,1088564,68.7,26.9,4.0,0.3,0.1
怦然心动,3319755,1799534,62.2,30.5,6.6,0.5,0.1
龙猫,1291560,1241407,64.4,29.5,5.8,0.2,0.1
末代皇帝,1293172,860525,70.3,25.4,3.9,0.3,0.1
寻梦环游记,20495023,1636987,62.2,30.4,6.8,0.4,0.2
活着,1292365,825980,69.9,25.8,3.9,0.3,0.1
蝙蝠侠：黑暗骑士,1851857,1036075,67.9,25.8,5.6,0.4,0.2
哈利·波特与魔法石,1295038,1160502,65.0,28.8,5.7,0.3,0.1
指环王3：王者无敌,1291552,787404,70.4,24.0,5.1,0.4,0.2
乱世佳人,1300267,677326,70.3,25.0,4.3,0.3,0.1
我不是药神,26752088,2059484,58.7,33.7,6.9,0.5,0.2
素媛,21937452,673391,69.5,26.5,3.6,0.2,0.1
飞屋环游记,2129039,1299432,60.8,32.6,6.2,0.3,0.1
何以为家,30170448,1024983,60.0,34.0,5.4,0.4,0.2
十二怒汉,1293182,478699,75.8,20.9,3.0,0.2,0.1
哈尔的移动城堡,1308807,1000328,63.8,29.5,6.2,0.4,0.1
摔跤吧！爸爸,26387939,1542183,59.5,33.0,6.8,0.5,0.2
鬼子来了,1291858,614343,70.7,24.4,4.4,0.3,0.2
少年派的奇幻漂流,1929463,1328234,61.6,31.4,6.4,0.4,0.2
让子弹飞,3742360,1666080,59.5,31.6,7.9,0.7,0.3
猫鼠游戏,1305487,997625,60.9,33.7,5.1,0.2,0.1
海蒂和爷爷,25958717,589055,69.5,25.8,4.4,0.3,0.1
钢琴家,1296736,621384,68.0,27.7,3.9,0.2,0.1
大话西游之月光宝盒,1299398,1198969,60.3,31.7,7.3,0.5,0.2
天空之城,1291583,804421,64.0,30.2,5.4,0.3,0.1
指环王2：双塔奇兵,1291572,737616,66.1,27.6,5.7,0.4,0.1
闻香识女人,1298624,863072,62.8,30.6,6.0,0.4,0.1
天堂电影院,1291828,669446,66.3,27.9,5.3,0.4,0.1
罗马假日,1293839,933348,60.6,32.7,6.4,0.3,0.1
绿皮书,27060077,1612754,54.9,37.5,7.1,0.4,0.1
死亡诗社,1291548,706966,65.3,28.2,5.8,0.5,0.2
大闹天宫,1418019,426792,74.3,21.2,4.1,0.3,0.1
指环王1：护戒使者,1291571,830049,63.2,29.2,6.9,0.5,0.2
黑客帝国,1291843,822401,62.8,30.2,6.5,0.5,0.1
教父2,1299131,540149,68.5,26.5,4.5,0.3,0.1
狮子王,1301753,821072,61.1,32.2,6.3,0.3,0.1
辩护人,21937445,579860,66.6,28.7,4.4,0.2,0.1
饮食男女,1291818,608236,63.9,31.0,4.7,0.3,0.1
搏击俱乐部,1292000,830914,61.7,30.1,7.2,0.7,0.3
美丽心灵,1306029,755175,60.0,33.7,5.9,0.3,0.1
本杰明·巴顿奇事,1485260,965171,57.8,34.1,7.5,0.5,0.1
穿条纹睡衣的男孩,3008247,551429,63.7,31.5,4.4,0.3,0.1
窃听风暴,1900841,554361,64.7,29.4,5.3,0.4,0.2
情书,1292220,1088495,56.9,33.0,9.0,0.8,0.3
两杆大烟枪,1293350,585271,63.8,29.5,5.9,0.5,0.2
西西里的美丽传说,1292402,956965,55.2,36.9,7.4,0.4,0.1
音乐之声,1294408,589944,62.0,31.4,6.2,0.3,0.1
看不见的客人,26580232,1232074,48.5,41.7,9.2,0.5,0.1
阿凡达,1652587,1396062,54.1,34.9,10.0,0.8,0.3
拯救大兵瑞恩,1292849,635115,60.3,33.0,6.2,0.4,0.2
飞越疯人院,1292224,537587,63.3,30.0,6.0,0.5,0.2
小鞋子,1303021,403242,67.0,28.5,4.2,0.2,0.1
哈利·波特与死亡圣器(下),3011235,812590,58.6,32.1,8.4,0.6,0.2
沉默的羔羊,1293544,870108,54.1,37.7,7.6,0.4,0.1
禁闭岛,2334904,954274,52.2,39.5,7.7,0.5,0.1
布达佩斯大饭店,11525673,909083,54.7,36.2,8.2,0.7,0.2
蝴蝶效应,1292343,918574,53.1,37.9,8.2,0.6,0.1
致命魔术,1780330,840664,54.2,37.2,7.8,0.6,0.2
海豚湾,3442220,352891,71.6,22.7,4.8,0.5,0.4
功夫,1291543,1096612,53.1,35.1,10.8,0.8,0.2
心灵捕手,1292656,695886,55.7,36.4,7.3,0.5,0.1
低俗小说,1291832,817625,55.2,34.9,8.8,0.8,0.3
美国往事,1292262,404155,66.0,27.4,5.8,0.5,0.3
春光乍泄,1292679,620681,58.1,33.6,7.5,0.6,0.2
哈利·波特与阿兹卡班的囚徒,1291544,708360,55.7,35.4,8.3,0.4,0.1
摩登时代,1294371,294266,70.9,25.1,3.7,0.2,0.1
超脱,5322596,580477,58.9,32.9,7.4,0.7,0.2
喜剧之王,1302425,950003,51.7,38.4,9.2,0.6,0.1
致命ID,1297192,805352,52.3,39.1,8.0,0.5,0.2
七宗罪,1292223,927528,50.9,39.4,8.9,0.6,0.2
杀人回忆,1300299,696465,54.1,37.5,7.5,0.6,0.2
红辣椒,1865703,451488,62.0,30.3,6.9,0.6,0.2
加勒比海盗,1298070,840926,51.2,39.2,8.9,0.5,0.1
哈利·波特与密室,1296996,735629,52.5,38.0,9.0,0.5,0.1
狩猎,6985810,381097,62.8,31.3,5.3,0.4,0.3
被嫌弃的松子的一生,1787291,692538,55.4,34.0,9.1,1.1,0.4
7号房的礼物,10777687,546965,57.5,33.5,7.9,0.8,0.2
一一,1292434,381845,65.3,26.6,7.0,0.8,0.3
唐伯虎点秋香,1306249,1056513,47.9,41.1,10.3,0.6,0.1
断背山,1418834,696512,53.8,35.6,9.5,0.7,0.3
剪刀手爱德华,1292370,1019882,48.5,39.9,10.7,0.8,0.2
勇敢的心,1294639,551952,56.3,34.2,8.6,0.7,0.2
入殓师,2149806,651630,53.2,37.8,8.3,0.5,0.2
爱在黎明破晓前,1296339,665650,54.4,34.7,9.7,1.0,0.3
第六感,1297630,545185,54.4,37.5,7.5,0.4,0.1
重庆森林,1291999,794062,51.1,38.0,9.8,0.8,0.3
蝙蝠侠：黑暗骑士崛起,3395373,705038,53.3,36.6,9.2,0.7,0.2
幽灵公主,1297359,513465,55.9,35.3,8.2,0.5,0.1
请以你的名字呼唤我,26799731,706845,55.9,33.2,9.5,1.1,0.5
菊次郎的夏天,1293359,583491,54.2,36.2,8.6,0.8,0.2
爱在日落黄昏时,1291990,546447,56.0,34.2,8.7,0.8,0.3
甜蜜蜜,1305164,536982,54.4,37.1,7.9,0.5,0.2
天使爱美丽,1292215,945177,50.1,36.7,11.7,1.1,0.3
阳光灿烂的日子,1291875,603889,52.7,38.1,8.4,0.6,0.2
小森林 夏秋篇,25814705,417973,59.4,32.6,7.2,0.6,0.2
超能陆战队,11026735,991891,48.5,40.8,10.0,0.6,0.1
完美的世界,1300992,308281,63.7,30.2,5.4,0.4,0.2
借东西的小人阿莉埃蒂,4202302,541570,53.6,37.9,8.0,0.4,0.1
无人知晓,1292337,311830,62.6,32.0,4.9,0.4,0.2
消失的爱人,21318488,915121,47.8,42.7,8.7,0.6,0.2
倩女幽魂,1297447,722261,48.9,41.4,9.2,0.4,0.1
小森林 冬春篇,25814707,373239,60.4,32.1,6.8,0.5,0.2
寄生虫,27010768,1343137,49.4,41.7,8.1,0.6,0.3
侧耳倾听,1297052,452947,56.1,35.1,8.3,0.5,0.1
时空恋旅人,10577869,649218,52.1,36.9,10.0,0.7,0.2
