work_id,rating,score_num,comment_num,watched_num,ratio,5star_num,4star_num,3star_num,2star_num,1star_num
30313647,5.2,216338,104723,,0.484,102,82,12,99,263
27591191,6.3,27195,12470,,0.459,289,66,20,39,145
26765418,4.5,80288,29401,,0.366,84,89,122,62,176
26615597,4.6,14477,5788,,0.4,146,82,110,95,120
35029547,5.9,522432,320607,,0.614,131,83,95,121,125
27075195,6.0,67673,26825,,0.396,80,149,113,85,121
30157168,6.6,56349,21084,,0.374,54,115,170,100,106
26971645,2.8,15663,5701,,0.364,3,10,19,90,407
26877434,7.0,84427,37581,,0.445,195,218,72,40,33
26926450,5.4,24720,10380,,0.42,64,74,125,153,130
30400625,4.9,37221,19201,,0.516,31,62,108,168,176
35125443,6.7,164834,72990,,0.443,72,163,208,75,16
26811532,5.3,145230,74677,,0.514,40,38,4,113,365
30148173,3.2,412250,213417,,0.518,20,13,49,69,396
30463682,5.5,30787,15103,,0.491,26,60,168,185,97
35152536,5.9,134263,60209,,0.448,98,51,38,93,276
30176770,5.9,195505,86052,,0.44,46,5,17,164,328
34463312,6.6,35832,12141,,0.339,54,157,215,68,49
34972208,6.6,24196,6205,,0.256,38,166,234,77,32
26826330,6.5,638560,266317,,0.417,224,217,31,42,45
35058573,6.9,100239,41963,,0.419,269,172,35,34,46
34779776,8.1,653387,307539,,0.471,186,118,97,50,103
35431984,6.2,60361,25824,,0.428,86,83,134,114,128
26575103,4.9,354376,110649,,0.312,28,28,145,216,129
27135558,5.0,121361,42923,,0.354,46,32,151,156,150
34807445,4.8,57779,16708,,0.289,47,39,136,112,208
26882446,4.4,113078,49946,,0.442,180,98,38,45,199
27195020,7.7,1688637,837539,,0.496,233,52,1,22,251
27155276,3.4,38201,12742,,0.334,15,21,77,154,276
25779217,4.5,650575,340751,,0.524,16,5,6,25,507
25853071,7.9,991348,353423,,0.357,227,53,29,112,137
26743567,6.1,349956,191609,,0.548,317,154,8,0,81
30313969,6.3,838268,524141,,0.625,491,54,1,0,14
30403219,6.0,298730,170935,,0.572,367,26,18,51,96
27069428,5.6,365768,180982,,0.495,65,4,0,47,444
35209733,8.2,39964,15173,,0.38,304,147,70,15,8
33442334,6.3,226379,103875,,0.459,144,75,125,132,73
34908108,7.3,164681,92972,,0.565,207,74,134,74,58
35372742,6.7,584523,302418,,0.517,391,450,565,174,420
25829175,4.4,155398,59813,,0.385,59,54,65,155,216
26999852,7.1,400331,141485,,0.353,51,115,133,85,168
30454698,4.4,11312,4928,,0.436,55,84,118,160,127
26915522,6.8,342031,153669,,0.449,312,95,2,50,101
27663766,6.0,12007,3385,,0.282,41,96,221,98,92
26703476,5.9,88225,34222,,0.388,61,48,105,116,213
26654146,5.0,191506,62447,,0.326,56,57,117,165,155
26691361,4.5,70166,23244,,0.331,42,43,81,177,209
27088995,5.3,106266,39333,,0.37,87,61,62,120,225
27073044,5.0,116610,41995,,0.36,108,27,3,56,365
33454980,6.9,456197,201528,,0.442,110,17,17,102,313
35235410,5.7,203595,114154,,0.561,129,52,147,149,77
30258233,6.2,38838,13634,,0.351,77,116,175,102,78
27611494,5.3,66918,27728,,0.414,105,136,102,134,74
34463197,7.3,357777,142205,,0.397,50,91,94,189,122
34908020,6.5,85320,32671,,0.383,104,104,49,134,162
26926445,6.0,306266,145621,,0.475,309,55,0,33,163
35082299,4.3,20867,7869,,0.377,22,34,83,137,276
35131244,3.8,49207,23083,,0.469,10,7,24,114,391
26339609,5.7,129138,66872,,0.518,52,24,66,139,269
35452438,7.7,525019,239400,,0.456,104,65,89,110,189
35274947,5.8,20695,10034,,0.485,52,52,107,133,204
35164015,8.0,33029,12354,,0.374,427,74,15,24,20
30476726,5.5,61678,32784,,0.532,292,240,3,0,25
26798457,4.8,122808,64029,,0.521,19,12,3,84,442
34454212,6.3,82216,41184,,0.501,148,76,39,74,219
26386688,5.5,64510,25468,,0.395,87,49,8,72,343
26928226,7.8,501851,195546,,0.39,79,24,25,186,246
35180907,6.2,202938,83434,,0.411,44,82,162,156,105
34951002,7.1,243179,133022,,0.547,170,73,139,96,79
35161592,8.2,352205,134742,,0.383,180,137,113,53,60
27145093,6.8,73117,34587,,0.473,319,136,17,38,48
26673282,3.8,48050,22185,,0.462,34,40,59,91,323
35096844,7.2,733631,277679,,0.378,225,74,60,113,86
35087699,6.9,240413,94612,,0.394,132,152,165,59,40
25845392,7.4,732140,256744,,0.351,230,124,131,56,13
35312437,7.4,540284,207305,,0.384,197,172,130,24,29
35613853,7.2,343905,110806,,0.322,134,199,179,37,3
30166972,8.2,1439921,487074,,0.338,167,174,78,51,71
35766491,7.1,849597,361653,,0.426,117,160,168,78,33
