,title,rating,score_num,comment_num,weight,id,url
0,大话西游之大圣娶亲,9.2,1503081,253410,0.169,1292213,https://movie.douban.com/subject/1292213/
0,海上钢琴师,9.3,1646352,330879,0.201,1292001,https://movie.douban.com/subject/1292001/
0,机器人总动员,9.3,1291603,232610,0.18,2131459,https://movie.douban.com/subject/2131459/
0,放牛班的春天,9.3,1286420,226195,0.176,1291549,https://movie.douban.com/subject/1291549/
0,控方证人,9.6,535773,155923,0.291,1296141,https://movie.douban.com/subject/1296141/
0,疯狂动物城,9.2,1884362,381110,0.202,25662329,https://movie.douban.com/subject/25662329/
0,三傻大闹宝莱坞,9.2,1824879,360168,0.197,3793023,https://movie.douban.com/subject/3793023/
0,无间道,9.3,1331523,217038,0.163,1307914,https://movie.douban.com/subject/1307914/
0,怦然心动,9.1,1796790,419087,0.233,3319755,https://movie.douban.com/subject/3319755/
0,触不可及,9.3,1086259,237390,0.219,6786002,https://movie.douban.com/subject/6786002/
0,教父,9.3,945035,162325,0.172,1291841,https://movie.douban.com/subject/1291841/
0,当幸福来敲门,9.2,1490952,242656,0.163,1849031,https://movie.douban.com/subject/1849031/
0,楚门的世界,9.4,1657937,329716,0.199,1292064,https://movie.douban.com/subject/1292064/
0,熔炉,9.4,914700,213428,0.233,5912992,https://movie.douban.com/subject/5912992/
0,星际穿越,9.4,1786340,438001,0.245,1889243,https://movie.douban.com/subject/1889243/
0,忠犬八公的故事,9.4,1373712,302255,0.22,3011091,https://movie.douban.com/subject/3011091/
0,千与千寻,9.4,2193359,406373,0.185,1291561,https://movie.douban.com/subject/1291561/
0,这个杀手不太冷,9.4,2250517,383885,0.171,1295644,https://movie.douban.com/subject/1295644/
0,辛德勒的名单,9.6,1083575,180656,0.167,1295124,https://movie.douban.com/subject/1295124/
0,泰坦尼克号,9.5,2124018,422343,0.199,1292722,https://movie.douban.com/subject/1292722/
0,盗梦空间,9.4,2021539,396242,0.196,3541415,https://movie.douban.com/subject/3541415/
0,美丽人生,9.6,1300892,284791,0.219,1292063,https://movie.douban.com/subject/1292063/
0,霸王别姬,9.6,2094477,445216,0.213,1291546,https://movie.douban.com/subject/1291546/
0,阿甘正传,9.5,2116280,354462,0.167,1292720,https://movie.douban.com/subject/1292720/
0,肖申克的救赎,9.7,2826333,553524,0.196,1292052,https://movie.douban.com/subject/1292052/
