title,score_num,watched_num,comment_num,ratio
霸王别姬,2097548,3545877,445761,0.21251528
阿甘正传,2119253,3838521,355053,0.167536863
泰坦尼克号,2135463,3957269,428015,0.200431944
肖申克的救赎,2830326,4617672,554219,0.195814546
这个杀手不太冷,2253172,4140356,384261,0.17054224
美丽人生,1302612,2139400,285135,0.218894805
千与千寻,2196156,3996242,406790,0.18522819
辛德勒的名单,1084991,1868434,180869,0.166700922
盗梦空间,2024025,3583151,396650,0.1959709
星际穿越,1789600,2977241,438607,0.245086612
楚门的世界,1661630,2926383,330478,0.198887839
忠犬八公的故事,1375845,2744450,302748,0.220045136
海上钢琴师,1648539,2941288,331340,0.200990089
三傻大闹宝莱坞,1827104,3325261,360512,0.197313344
放牛班的春天,1287971,2401110,226398,0.175778802
机器人总动员,1293181,2298986,232883,0.180085386
无间道,1333727,2360521,217406,0.163006372
疯狂动物城,1887166,3708432,381509,0.202159746
控方证人,537161,699314,156288,0.290951875
大话西游之大圣娶亲,1505128,2841748,253725,0.168573703
熔炉,915890,1531133,213634,0.233252902
教父,946567,1548195,162545,0.171720544
当幸福来敲门,1492871,2842044,243001,0.162774279
触不可及,1088265,1774904,237713,0.21843301
怦然心动,1799209,3321436,419521,0.233169687
龙猫,1241159,2458302,231807,0.186766563
末代皇帝,860232,1415617,177745,0.206624492
寻梦环游记,1636591,3112607,419781,0.256497194
活着,825749,1313086,176359,0.213574585
蝙蝠侠：黑暗骑士,1035906,1733174,178620,0.172428772
哈利·波特与魔法石,1160220,2170823,182515,0.157310682
指环王3：王者无敌,787257,1287254,112687,0.143138772
乱世佳人,677176,1032622,152710,0.225510059
素媛,673242,1178960,143594,0.213287347
我不是药神,2059055,5857048,532639,0.258681288
飞屋环游记,1299207,2455276,212610,0.163645978
何以为家,1024776,1795072,259144,0.252878678
十二怒汉,478556,685364,115293,0.240918513
哈尔的移动城堡,1000104,1929784,179769,0.179750306
摔跤吧！爸爸,1541906,3431716,312771,0.202846996
鬼子来了,614193,961447,117538,0.191369814
少年派的奇幻漂流,1328011,2410577,305671,0.230172039
让子弹飞,1665718,3150474,318635,0.191289882
猫鼠游戏,997363,1548951,181099,0.181577821
海蒂和爷爷,588814,914275,180178,0.306001556
钢琴家,621187,911037,115693,0.186245044
大话西游之月光宝盒,1198727,2474521,135022,0.112637823
天空之城,804270,1613087,121766,0.151399406
指环王2：双塔奇兵,737476,1230314,86697,0.11755908
闻香识女人,862876,1421570,176040,0.204015409
天堂电影院,669331,1005032,143126,0.213834411
罗马假日,933190,1738818,173504,0.185925696
绿皮书,1612373,2924038,389699,0.241692834
大闹天宫,426674,778891,54254,0.127155627
指环王1：护戒使者,829869,1427934,125267,0.150947921
黑客帝国,822239,1377441,135896,0.165275546
教父2,540005,872958,67709,0.125385876
狮子王,820881,1630551,104431,0.127218196
辩护人,579771,859602,127978,0.220738878
饮食男女,608078,874192,152960,0.251546677
搏击俱乐部,830757,1194947,175839,0.211661172
