,title,rating,score_num,comment_num,ratio,id
0,肖申克的救赎,9.7,2828986, 553944,0.196,1292052
0,霸王别姬,9.6,2096490, 445561,0.213,1291546
0,阿甘正传,9.5,2118106, 354755,0.167,1292720
0,泰坦尼克号,9.5,2131665, 426159,0.2,1292722
0,这个杀手不太冷,9.4,2252308, 384096,0.171,1295644
0,美丽人生,9.6,1302031, 285023,0.219,1292063
0,千与千寻,9.4,2195240, 406638,0.185,1291561
0,盗梦空间,9.4,2023101, 396488,0.196,3541415
0,星际穿越,9.4,1788487, 438393,0.245,1889243
0,楚门的世界,9.4,1660273, 330176,0.199,1292064
0,忠犬八公的故事,9.4,1375118, 302568,0.22,3011091
0,辛德勒的名单,9.6,1084489, 180794,0.167,1295124
0,海上钢琴师,9.3,1647710, 331104,0.201,1292001
0,三傻大闹宝莱坞,9.2,1826306, 360367,0.197,3793023
0,放牛班的春天,9.3,1287410, 226319,0.176,1291549
0,机器人总动员,9.3,1292613, 232789,0.18,2131459
0,无间道,9.3,1332945, 217280,0.163,1307914
0,疯狂动物城,9.2,1886206, 381361,0.202,25662329
0,控方证人,9.6,536648, 156148,0.291,1296141
0,大话西游之大圣娶亲,9.2,1504421, 253619,0.169,1292213
0,熔炉,9.4,915473, 213565,0.233,5912992
0,教父,9.3,946049, 162471,0.172,1291841
0,当幸福来敲门,9.2,1492143, 242827,0.163,1849031
0,触不可及,9.3,1087568, 237597,0.218,6786002
0,怦然心动,9.1,1798368, 419350,0.233,3319755
0,龙猫,9.2,1240584, 231683,0.187,1291560
0,末代皇帝,9.3,859503, 177581,0.207,1293172
0,寻梦环游记,9.1,1635679, 419608,0.257,20495023
0,活着,9.3,825247, 176267,0.214,1292365
0,蝙蝠侠：黑暗骑士,9.2,1035456, 178563,0.172,1851857
0,哈利·波特与魔法石,9.2,1159509, 182401,0.157,1295038
0,指环王3：王者无敌,9.3,786854, 112624,0.143,1291552
0,乱世佳人,9.3,676821, 152629,0.226,1300267
0,我不是药神,9.0,2058104, 532469,0.259,26752088
0,素媛,9.3,672888, 143533,0.213,21937452
0,飞屋环游记,9.1,1298641, 212539,0.164,2129039
0,何以为家,9.1,1024257, 259049,0.253,30170448
0,哈尔的移动城堡,9.1,999564, 179649,0.18,1308807
0,十二怒汉,9.4,478251, 115220,0.241,1293182
0,摔跤吧！爸爸,9.0,1541302, 312704,0.203,26387939
0,鬼子来了,9.3,613869, 117485,0.191,1291858
0,少年派的奇幻漂流,9.1,1327490, 305567,0.23,1929463
0,猫鼠游戏,9.1,996628, 180959,0.182,1305487
0,海蒂和爷爷,9.3,588187, 180019,0.306,25958717
0,钢琴家,9.3,620737, 115621,0.186,1296736
0,大话西游之月光宝盒,9.0,1198189, 134946,0.113,1299398
0,天空之城,9.2,803892, 121711,0.151,1291583
